code,name,sector,weight,enabled,note
601398,工商银行,银行,1,1,大盘金融样本
601288,农业银行,银行,1,1,大盘金融样本
601318,中国平安,保险,1,1,大盘金融样本
600519,贵州茅台,白酒,1,1,消费龙头样本
000858,五粮液,白酒,1,1,消费龙头样本
000333,美的集团,家电,1,1,消费制造样本
600036,招商银行,银行,1,1,大盘金融样本
600030,中信证券,证券,1,1,券商样本
601012,隆基绿能,光伏,1,1,新能源样本
300750,宁德时代,电池,1,1,新能源样本
002594,比亚迪,汽车,1,1,新能源车样本
601127,赛力斯,汽车,1,1,智能汽车事件样本
600733,北汽蓝谷,汽车,1,1,智能汽车事件样本
000725,京东方A,电子,1,1,面板电子样本
002415,海康威视,计算机,1,1,科技样本
002230,科大讯飞,人工智能,1,1,AI样本
300059,东方财富,互联网金融,1,1,金融科技样本
600276,恒瑞医药,医药,1,1,医药样本
300760,迈瑞医疗,医疗器械,1,1,医药样本
600900,长江电力,电力,1,1,低波红利样本
601088,中国神华,煤炭,1,1,红利周期样本
600438,通威股份,光伏,1,1,新能源样本
002475,立讯精密,电子,1,1,消费电子样本
000063,中兴通讯,通信,1,1,通信科技样本
688981,中芯国际,半导体,1,1,半导体样本
603259,药明康德,医药服务,1,1,医药服务样本
000651,格力电器,家电,1,1,消费制造样本
601899,紫金矿业,有色金属,1,1,周期资源样本
600309,万华化学,化工,1,1,周期制造样本
300124,汇川技术,自动化,1,1,机器人/自动化样本
